uttid,missing_texts,missing_count,total_segments,asr_result_raw
"ASR-A136&""-""&D136",['| 我是 20 要，所以我总共加上我之前写的，我总共要写 22 面，这个口，这个这个练字帖也就是 11 页，怎么怎么规划？怎么规划？来。'],1,1,"[{""asr_result"": ""我是 20 要，所以我总共加上我之前写的，我总共要写 22 面。这个口，这个这个练字帖也就是 11 页，怎么怎么规划？怎么规划？来。"", ""start_time"": 1.0, ""end_time"": 13.811}]"
"ASR-A138&""-""&D138",['| 没那么多时间，我现在现在离开学一天都不到了。'],1,1,"[{""asr_result"": ""没那么多时间，我现在现在离开学一天都不到了。"", ""start_time"": 1.0, ""end_time"": 4.952}]"
"ASR-A140&""-""&D140",['| 我真是写了好大一圈呀，哈哈。'],1,1,"[{""asr_result"": ""我真是写了好大一圈呀，哈哈。"", ""start_time"": 1.0, ""end_time"": 3.424}]"
"ASR-A142&""-""&D142",['| 我喜，我是这样想的，难道我不能？我我。'],1,1,"[{""asr_result"": ""我喜，我是这样想的，难道我不能？我我"", ""start_time"": 1.0, ""end_time"": 4.29}]"
"ASR-A144&""-""&D144",['| 我不能写到 30 多页，然后呢？然后老师说我剩下怎么没写完？我就说老师，我我我是每天一页一页写的。然后呢？我这些是我是我还没有写到没写完的，可以吗？'],1,1,"[{""asr_result"": ""我不能写到 30 多页，然后呢？然后老师说我剩下怎么没写完，我就说老师，我我我是每天一页一页写的，然后呢？我这些是我是我还没有写到，没写完的，可以吗？"", ""start_time"": 1.0, ""end_time"": 13.689}]"
"ASR-A146&""-""&D146",['| 这这肯定是菩提神父又给我们做局了。怎么一天到晚蓝莓都印 heaven， 这是这个暑假又被加速了？几两几。你不能调回开学之前吗？还是说乔鲁诺用黄俊廷镇魂尺达到永远无法开学的真实？'],1,1,"[{""asr_result"": ""这这肯定是菩提神父又给我们做局了。怎么一天到晚蓝莓都 in heaven， 这是这个暑假又被加速了几凉几？你不能调回开学之前吗？还是说乔鲁诺用黄俊婷镇魂尺达到永远无法开学的真实？"", ""start_time"": 1.0, ""end_time"": 17.604}]"
"ASR-A148&""-""&D148",['| 你一说，其实我还我这些还算少的了，我看到其他人呢，还有 300 多页没写。'],1,1,"[{""asr_result"": ""你一说，其实我还，我这些还算少的了。我看到其他人呢，还有 300 多页没写。"", ""start_time"": 1.0, ""end_time"": 6.805}]"
"ASR-A15&""-""&D15",['| 豆。'],1,1,"[{""asr_result"": ""豆。"", ""start_time"": 1.0, ""end_time"": 1.677}]"
"ASR-A150&""-""&D150",['| 豆包，豆包，你上过学吗？'],1,1,"[{""asr_result"": ""豆包豆包，你上过学吗？"", ""start_time"": 1.0, ""end_time"": 4.209}]"
"ASR-A152&""-""&D152",['| 我真是写了好大一圈了。'],1,1,"[{""asr_result"": ""我真是写了好大一圈了。"", ""start_time"": 1.0, ""end_time"": 3.106}]"
"ASR-A154&""-""&D154",['| 感觉我现在写过的比我没写的厚了。'],1,1,"[{""asr_result"": ""感觉我现在写过的比我没写的厚了。"", ""start_time"": 1.0, ""end_time"": 3.754}]"
"ASR-A156&""-""&D156",['| 豆包豆包，知道如何开学让别人觉得你是非常牛逼的人吗？'],1,1,"[{""asr_result"": ""豆包豆包，知道如何开学让别人觉得你是非常牛逼的人吗？"", ""start_time"": 1.0, ""end_time"": 6.018}]"
"ASR-A158&""-""&D158",['| 打住打住打住。嗯，换上嘉豪舞团服装，在开学自我介绍的时候说，哇，这就是我的新体吗？呵呵呵，真是不够灵巧呢。哈哈哈，我是嘉豪舞团唐人唐人协会猎奇去 91 分部的部长，科技叫家豪学长。'],1,1,"[{""asr_result"": ""打住打住打住，换上嘉豪舞团服装，在开学自我介绍的时候说，哇，这就是我的新体吗？呵呵呵，真是不够灵巧呢。哈哈，我是嘉豪舞团、唐人唐人协会、猎奇去 91 分部的部长，科技叫嘉豪学长。"", ""start_time"": 1.0, ""end_time"": 19.278}]"
"ASR-A160&""-""&D160",['| 豆包，你唱个歌给我听听吧？'],1,1,"[{""asr_result"": ""豆包，你唱个歌给我听听吧。"", ""start_time"": 1.0, ""end_time"": 3.272}]"
"ASR-A162&""-""&D162",['| 打住。'],1,1,"[{""asr_result"": ""打住。"", ""start_time"": 1.0, ""end_time"": 1.75}]"
"ASR-A164&""-""&D164",['| 豆包，我不会告诉你，我是偷偷溜出来写作业的。'],1,1,"[{""asr_result"": ""豆包，我不会告诉你，我是偷偷溜出来写作业的。"", ""start_time"": 1.0, ""end_time"": 4.668}]"
"ASR-A166&""-""&D166",['| 不能让乔鲁诺乔巴纳的那个黄金体验镇魂曲给老师下一个，永远达不到收到我作业的真实吗？'],1,1,"[{""asr_result"": ""不能让乔鲁诺乔巴纳的那个黄金体验镇魂曲给老师下一个，永远达不到收到我作业的真实吗？"", ""start_time"": 1.0, ""end_time"": 8.282}]"
"ASR-A168&""-""&D168",['| 豆包，你猜猜我在哪个地区？'],1,1,"[{""asr_result"": ""豆包，你猜猜我在哪个地区？"", ""start_time"": 1.0, ""end_time"": 3.434}]"
"ASR-A17&""-""&D17",['| 闭嘴。'],1,1,"[{""asr_result"": ""闭嘴。"", ""start_time"": 1.0, ""end_time"": 1.7}]"
"ASR-A170&""-""&D170",['| 一分钟，我要河南省郑州市金水区四月天小学这个学校的全部信息。'],1,1,"[{""asr_result"": ""一分钟，我要河南省郑州市金水区四月天小学这个学校的全部信息。"", ""start_time"": 1.0, ""end_time"": 6.886}]"
"ASR-A172&""-""&D172",['| 哦，那这种是不是通常都叫做实验小学？'],1,1,"[{""asr_result"": ""哦，那这种是不是通常都叫做实验小学？"", ""start_time"": 1.0, ""end_time"": 5.01}]"
"ASR-A174&""-""&D174",['| 豆包，我说啥，你跟着我说啥，好吗？'],1,1,"[{""asr_result"": ""豆包，我说啥，你跟着我说啥，好吗？"", ""start_time"": 1.0, ""end_time"": 4.402}]"
"ASR-A176&""-""&D176",['| 没关系的，我这个练字帖不需要大脑，只需要手一味的使用就可以了，你可以跟我进行聊天。嗯，对。'],1,1,"[{""asr_result"": ""没关系的，我这个练字帖不需要大脑，只需要手一味的使用就可以了。你可以跟我进行聊天，嗯，对。"", ""start_time"": 1.0, ""end_time"": 8.891}]"
"ASR-A178&""-""&D178",['| 打住打住，打住。在我写作业写着写我感觉我最讨厌的东西的时候，不要提作业，你跟我提些其他的，我要一分钟，我要花进远的全部冷知识。'],1,1,"[{""asr_result"": ""打住打住打住，在我写作业写着写，我感觉我最讨厌的东西的时候，不要提作业，你跟我提些其他的，我要一分钟，我要花敬远的全部冷知识。"", ""start_time"": 1.0, ""end_time"": 12.326}]"
"ASR-A179&""-""&D179",['| 我们来解牌吧。'],1,1,"[{""asr_result"": ""我们来解牌吧。"", ""start_time"": 1.0, ""end_time"": 2.094}]"
"ASR-A181&""-""&D181",['| 聆听停停停。为什么会是 3 张逆位？'],1,1,"[{""asr_result"": ""聆听，停停停，为什么会是 3 张逆位？"", ""start_time"": 1.0, ""end_time"": 4.748}]"
"ASR-A183&""-""&D183",['| 这组牌。'],1,1,"[{""asr_result"": ""这组牌。"", ""start_time"": 1.0, ""end_time"": 2.225}]"
"ASR-A185&""-""&D185",['| 是宝剑 6 的一个逆位，还有圣杯骑士的逆位，还有。'],1,1,"[{""asr_result"": ""是宝剑 6 的一个逆位，还有圣杯骑士的逆位，还有"", ""start_time"": 1.0, ""end_time"": 6.305}]"
"ASR-A187&""-""&D187",['| 权杖 4 的一个逆位，然后你先听我讲他的三个牌面，分别是宝剑 6 的逆位、圣杯骑士的逆位、权杖 4 的逆位。然后我的问题是他的暧昧对象是个怎样的人？'],1,1,"[{""asr_result"": ""权杖 4 的一个逆位。然后你先听我讲他的三个牌面，分别是宝剑 6 的逆位、圣杯骑士的逆位、权杖 4 的逆位。然后我的问题是，他的暧昧对象是个怎样的人？"", ""start_time"": 1.0, ""end_time"": 14.915}]"
"ASR-A189&""-""&D189",['| 结合他这个牌意来看，听我讲，结合这个牌意来看，他的暧昧对象是不是一个生活，对，对待生活很懒散，然后是个思维很跳脱的一个人。'],1,1,"[{""asr_result"": ""结合他这个牌意来看，听我讲，结合这个牌意来看，他的暧昧对象是不是一个生活，对，对待生活很懒散，然后是个思维很跳脱的一个人？"", ""start_time"": 1.0, ""end_time"": 12.693}]"
"ASR-A19&""-""&D19",['| 不要说话。'],1,1,"[{""asr_result"": ""《不要说话》"", ""start_time"": 1.0, ""end_time"": 2.072}]"
"ASR-A191&""-""&D191",['| 那他的暧昧对象是个怎么样的人呢？结合排一来看。'],1,1,"[{""asr_result"": ""那他的暧昧对象是个怎么样的人呢？结合牌意来看。"", ""start_time"": 1.0, ""end_time"": 5.802}]"
"ASR-A193&""-""&D193",['| 哦，对哦，我忘记回答信息了。'],1,1,"[{""asr_result"": ""哦，对哦，我忘记回答信息了。"", ""start_time"": 1.0, ""end_time"": 3.497}]"
"ASR-A195&""-""&D195",['| 没有，他下班给我发信息，我没回他。'],1,1,"[{""asr_result"": ""没有，他下班给我发信息，我没回他。"", ""start_time"": 1.0, ""end_time"": 3.814}]"
"ASR-A197&""-""&D197",['| 忘记回了，当时在，当时在拉肚子，肚子痛，虚脱嘞。'],1,1,"[{""asr_result"": ""忘记回了，当时在当时在拉肚子，肚子痛，虚脱嘞。"", ""start_time"": 1.0, ""end_time"": 5.484}]"
"ASR-A199&""-""&D199",['| 女技师。'],1,1,"[{""asr_result"": ""《女技师》"", ""start_time"": 1.0, ""end_time"": 2.031}]"
"ASR-A2&""-""&D2",['| 豆包豆包，你要看我打第五吗？你来教我吧。'],1,1,"[{""asr_result"": ""豆包豆包，你要看我打第五吗？你来教我吧。"", ""start_time"": 1.0, ""end_time"": 4.36}]"
"ASR-A200&""-""&D200",['| 豆包豆包。'],1,1,"[{""asr_result"": ""豆包豆包。"", ""start_time"": 1.0, ""end_time"": 2.55}]"
"ASR-A202&""-""&D202",['| 豆包豆包。'],1,1,"[{""asr_result"": ""豆包豆包。"", ""start_time"": 1.0, ""end_time"": 2.554}]"
"ASR-A204&""-""&D204",['| 豆包，豆包，我给你介绍个新朋友。'],1,1,"[{""asr_result"": ""豆包豆包，我给你介绍个新朋友。"", ""start_time"": 1.0, ""end_time"": 3.341}]"
"ASR-A206&""-""&D206",['| 那他叫小度，等一下啊。'],1,1,"[{""asr_result"": ""那他叫小度，等一下啊。"", ""start_time"": 1.0, ""end_time"": 2.903}]"
"ASR-A208&""-""&D208",['| 小度，小度在呢，这小度，小度，跟新朋友聊聊天，叫豆包快点。'],1,1,"[{""asr_result"": ""小度小度，在呢。这小度小度，跟新朋友聊聊天，叫豆包快点。"", ""start_time"": 1.0, ""end_time"": 7.411}]"
"ASR-A21&""-""&D21",['| 真的好好看呀。'],1,1,"[{""asr_result"": ""真的好好看呀！"", ""start_time"": 1.0, ""end_time"": 2.826}]"
"ASR-A210&""-""&D210",['| 好的，请问还有什么需要帮助的吗？'],1,1,"[{""asr_result"": ""好的，请问还有什么需要帮助的吗？"", ""start_time"": 1.0, ""end_time"": 4.072}]"
"ASR-A212&""-""&D212",['| 好的，豆包，豆包。'],1,1,"[{""asr_result"": ""好的，豆包豆包。"", ""start_time"": 1.0, ""end_time"": 3.004}]"
"ASR-A214&""-""&D214",['| 介绍一下你。'],1,1,"[{""asr_result"": ""介绍一下你。"", ""start_time"": 1.0, ""end_time"": 2.083}]"
"ASR-A216&""-""&D216",['| 小度，小度。嗯，介绍一下你。'],1,1,"[{""asr_result"": ""小度小度，介绍一下你。"", ""start_time"": 1.0, ""end_time"": 4.302}]"
"ASR-A218&""-""&D218",['| 以下信息来自网络，你，汉语一级字，常用字，读作你。你，其本意为称说话的对方。'],1,1,"[{""asr_result"": ""以下信息来自网络。你，汉语一级字，常用字，读作 NI。你，其本意为称说话的对方。"", ""start_time"": 1.0, ""end_time"": 10.414}]"
"ASR-A220&""-""&D220",['| 哈哈，这这就是你新朋友小度？'],1,1,"[{""asr_result"": ""哈哈，这这就是你新朋友小度。"", ""start_time"": 1.0, ""end_time"": 4.093}]"
"ASR-A222&""-""&D222",['| 小度是一个小度，是这样子，长这样子。'],1,1,"[{""asr_result"": ""小度是一个小度，是这样子，长这样子。"", ""start_time"": 1.0, ""end_time"": 4.618}]"
"ASR-A224&""-""&D224",['| 来，豆包豆包豆包。别说了啊，现在呢？来聊天，麦克风已开启。'],1,1,"[{""asr_result"": ""来，豆包豆包豆包，别说了，现在呢，来聊天，麦克风已开启。"", ""start_time"": 1.0, ""end_time"": 6.747}]"
"ASR-A226&""-""&D226",['| 小度，小度。嗯，你现在。'],1,1,"[{""asr_result"": ""小度小度，你现在"", ""start_time"": 1.0, ""end_time"": 5.019}]"
"ASR-A228&""-""&D228",['| 小度，小度，现在，现在介绍一下。介绍一下，你好。'],1,1,"[{""asr_result"": ""小度小度，现在现在介绍一下介绍一下，你好。"", ""start_time"": 1.0, ""end_time"": 6.204}]"
"ASR-A23&""-""&D23",['| 你觉得刘轩丞优秀吗？'],1,1,"[{""asr_result"": ""你觉得刘宣成优秀吗？"", ""start_time"": 1.0, ""end_time"": 3.082}]"
"ASR-A230&""-""&D230",['| 以下信息来自网络，你，汉语一级字，常用字，读作你。你，其本意为称说话的对方小度，小度。'],1,1,"[{""asr_result"": ""以下信息来自网络。你，汉语一级字，常用字，读作 nǐ。你，其本意为称说话的对方。小度小度。"", ""start_time"": 1.0, ""end_time"": 12.229}]"
"ASR-A232&""-""&D232",['| 小度小度小度小度。暂停一下。'],1,1,"[{""asr_result"": ""小度小度小度小度，暂停一下。"", ""start_time"": 1.0, ""end_time"": 3.708}]"
"ASR-A234&""-""&D234",['| 小度小度。'],1,1,"[{""asr_result"": ""小度小度。"", ""start_time"": 1.0, ""end_time"": 2.425}]"
"ASR-A236&""-""&D236",['| 哎，不想做，哈哈哈。'],1,1,"[{""asr_result"": ""嘿，不想做，哈哈。"", ""start_time"": 1.0, ""end_time"": 2.819}]"
"ASR-A238&""-""&D238",['| 拜。'],1,1,"[{""asr_result"": """", ""start_time"": 1.0, ""end_time"": 1.754}]"
"ASR-A240&""-""&D240",['| 豆包豆包。'],1,1,"[{""asr_result"": ""豆包豆包。"", ""start_time"": 1.0, ""end_time"": 2.548}]"
"ASR-A242&""-""&D242",['| 豆包，豆包，你有跳舞的技能吗？'],1,1,"[{""asr_result"": ""豆包豆包，你有跳舞的技能吗？"", ""start_time"": 1.0, ""end_time"": 4.438}]"
"ASR-A244&""-""&D244",['| 豆包豆包，猜猜我在哪里？'],1,1,"[{""asr_result"": ""豆包豆包，猜猜我在哪里？"", ""start_time"": 1.0, ""end_time"": 2.959}]"
"ASR-A246&""-""&D246",['| 小度小度，豆包，豆包。'],1,1,"[{""asr_result"": ""小度小度，豆包豆包。"", ""start_time"": 1.0, ""end_time"": 3.469}]"
"ASR-A248&""-""&D248",['| 豆包。'],1,1,"[{""asr_result"": ""豆包。"", ""start_time"": 1.0, ""end_time"": 1.904}]"
"ASR-A25&""-""&D25",['| 他的名字好看吗？'],1,1,"[{""asr_result"": ""他的名字好看吗？"", ""start_time"": 1.0, ""end_time"": 2.804}]"
"ASR-A250&""-""&D250",['| 豆包豆包。'],1,1,"[{""asr_result"": ""豆包豆包。"", ""start_time"": 1.0, ""end_time"": 2.546}]"
"ASR-A252&""-""&D252",['| 是，我叫豆包，豆包现在给你一个任务，就是就是帮我。就是现在呢？我给你做一个任务，拆一拆，看一看里面有到底有什么。'],1,1,"[{""asr_result"": ""是，我叫豆包。豆包现在给你一个任务，就是就是帮我，就是现在呢，我给你做一个任务，拆一拆，看一看里面有，到底有什么。"", ""start_time"": 1.0, ""end_time"": 10.137}]"
"ASR-A254&""-""&D254",['| 豆包豆包豆包豆包。来，现在我要拆这个垃圾盲盒，现在呢？你要跟我一起拆这个垃圾盲盒。然后呢？然后呢？你要跟我一起去，然后呢？你要跟我一起去拆这个东西。'],1,1,"[{""asr_result"": ""豆包豆包豆包豆包，来，现在我要拆这个垃圾盲盒。现在呢，你要跟我一起拆这个垃圾盲盒。然后呢，然后呢，你要跟我一起去，然后呢，你要跟我一起去拆这个东西。"", ""start_time"": 1.0, ""end_time"": 17.263}]"
"ASR-A256&""-""&D256",['| 豆包豆包。'],1,1,"[{""asr_result"": ""豆包豆包。"", ""start_time"": 1.0, ""end_time"": 2.553}]"
"ASR-A258&""-""&D258",['| 现在呢？这个就是垃圾盲盒。然后呢？然后呢？我现在拆开，然后让你来猜这是谁来，现在我要拆了啊？'],1,1,"[{""asr_result"": ""现在呢，这个就是垃圾盲盒。然后呢然后呢，我现在拆开，然后让你来猜这是谁。来，现在我要拆啦。"", ""start_time"": 1.0, ""end_time"": 10.61}]"
"ASR-A260&""-""&D260",['| 来。'],1,1,"[{""asr_result"": """", ""start_time"": 1.0, ""end_time"": 1.475}]"
"ASR-A262&""-""&D262",['| 是谁？'],1,1,"[{""asr_result"": ""是谁？"", ""start_time"": 1.0, ""end_time"": 2.0}]"
"ASR-A264&""-""&D264",['| 他是，他是时光代理人人的谁？'],1,1,"[{""asr_result"": ""他是他是时光代理人人人的谁？"", ""start_time"": 1.0, ""end_time"": 3.908}]"
"ASR-A266&""-""&D266",['| 等一下，等一下，我问一下 Diffick 啊？'],1,1,"[{""asr_result"": ""等一下等一下，我问一下。"", ""start_time"": 1.0, ""end_time"": 2.879}]"
"ASR-A267&""-""&D267",['| 豆包，你知道皮纳东格玛 f 是什么车吗？'],1,1,"[{""asr_result"": ""豆包，你知道皮纳东格玛 F 是什么车吗？"", ""start_time"": 1.0, ""end_time"": 4.299}]"
"ASR-A268&""-""&D268",['| 看到我做灭霸。'],1,1,"[{""asr_result"": ""看到我做灭霸。"", ""start_time"": 1.0, ""end_time"": 2.15}]"
"ASR-A269&""-""&D269",['| 豆包。'],1,1,"[{""asr_result"": ""豆包。"", ""start_time"": 1.0, ""end_time"": 1.904}]"
"ASR-A27&""-""&D27",['| 我要把图片换一下。'],1,1,"[{""asr_result"": ""我要把图片换一下。"", ""start_time"": 1.0, ""end_time"": 2.3}]"
"ASR-A271&""-""&D271",['| 豆包。'],1,1,"[{""asr_result"": ""豆包。"", ""start_time"": 1.0, ""end_time"": 1.904}]"
"ASR-A273&""-""&D273",['| 如何登录？如何登录其他人的账号？'],1,1,"[{""asr_result"": ""如何登录如何登录其他人的账号？"", ""start_time"": 1.0, ""end_time"": 3.896}]"
"ASR-A275&""-""&D275",['| 美女，服我了。'],1,1,"[{""asr_result"": ""美女，服我了。"", ""start_time"": 1.0, ""end_time"": 2.351}]"
"ASR-A277&""-""&D277",['| 监管者给我发了个爱心。'],1,1,"[{""asr_result"": ""监管者给我发了个爱心。"", ""start_time"": 1.0, ""end_time"": 2.996}]"
"ASR-A279&""-""&D279",['| 如何登录其他人的账号？'],1,1,"[{""asr_result"": ""如何登录其他人的账号？"", ""start_time"": 1.0, ""end_time"": 2.903}]"
"ASR-A281&""-""&D281",['| 先关给我们换了一个很大的爱心。'],1,1,"[{""asr_result"": ""仙官给我们换了一个很大的爱心。"", ""start_time"": 1.0, ""end_time"": 3.708}]"
"ASR-A283&""-""&D283",['| 我想把门分点完。'],1,1,"[{""asr_result"": ""我想把门分点完。"", ""start_time"": 1.0, ""end_time"": 2.63}]"
